TABLE:  Beam Object Connectivity,,,,,
Unique Name,Story,BeamBay,UniquePtI,UniquePtJ,Length
133,Story7,B17,52,51,16666.67
136,Story7,B18,50,51,16666.66
135,Story7,B19,49,50,16666.67
134,Story7,B20,49,52,16666.66
125,Story6,B17,48,47,16666.67
128,Story6,B18,46,47,16666.66
127,Story6,B19,45,46,16666.67
126,Story6,B20,45,48,16666.66
117,Story5,B17,44,43,16666.67
120,Story5,B18,42,43,16666.66
119,Story5,B19,41,42,16666.67
118,Story5,B20,41,44,16666.66
96,Story4,B13,36,35,21666.67
95,Story4,B14,34,35,21666.66
94,Story4,B15,33,34,21666.67
93,Story4,B16,33,36,21666.66
69,Story3,B9,28,27,26666.66
72,Story3,B10,26,27,26666.66
71,Story3,B11,25,26,26666.66
70,Story3,B12,25,28,26666.66
45,Story2,B5,17,18,31666.67
46,Story2,B6,18,19,31666.66
47,Story2,B7,20,19,31666.67
48,Story2,B8,17,20,31666.66
21,Story1,B1,9,10,36666.67
22,Story1,B2,10,11,36666.66
23,Story1,B3,12,11,36666.67
24,Story1,B4,9,12,36666.66
