TABLE:  Group Assignments,,
Group Name,Object Type,Object Unique Name
SECC01,Point,21
SECC01,Point,22
SECC01,Point,23
SECC01,Point,24
SECC01,Point,36
SECC01,Point,35
SECC01,Point,34
SECC01,Point,33
SECC01,Point,43
SECC01,Point,42
SECC01,Point,32
SECC01,Point,29
SECC01,Point,30
SECC01,Point,31
SECC01,Point,39
SECC01,Point,40
SECC01,Point,37
SECC01,Point,38
SECC01,Line,21
SECC01,Line,22
SECC01,Line,23
SECC01,Line,24
SECC01,Line,45
SECC01,Line,46
SECC01,Line,47
SECC01,Line,48
SECC01,Line,69
SECC01,Line,72
SECC01,Line,71
SECC01,Line,70
SECC01,Line,64
SECC01,Line,49
SECC01,Line,54
SECC01,Line,59
SECC01,Line,65
SECC01,Line,66
SECC01,Line,67
SECC01,Line,68
SECC01,Line,50
SECC01,Line,51
SECC01,Line,52
SECC01,Line,53
SECC01,Line,55
SECC01,Line,56
SECC01,Line,57
SECC01,Line,58
SECC01,Line,60
SECC01,Line,61
SECC01,Line,62
SECC01,Line,63
SECC01,Line,96
SECC01,Line,95
SECC01,Line,94
SECC01,Line,93
SECC01,Line,117
SECC01,Line,120
SECC01,Line,119
SECC01,Line,118
SECC01,Line,87
SECC01,Line,92
SECC01,Line,77
SECC01,Line,82
SECC01,Line,112
SECC01,Line,97
SECC01,Line,102
SECC01,Line,107
SECC01,Line,88
SECC01,Line,89
SECC01,Line,90
SECC01,Line,91
SECC01,Line,73
SECC01,Line,74
SECC01,Line,75
SECC01,Line,76
SECC01,Line,78
SECC01,Line,79
SECC01,Line,80
SECC01,Line,81
SECC01,Line,83
SECC01,Line,84
SECC01,Line,85
SECC01,Line,86
SECC01,Line,113
SECC01,Line,114
SECC01,Line,115
SECC01,Line,116
SECC01,Line,98
SECC01,Line,99
SECC01,Line,100
SECC01,Line,101
SECC01,Line,103
SECC01,Line,104
SECC01,Line,105
SECC01,Line,106
SECC01,Line,108
SECC01,Line,109
SECC01,Line,110
SECC01,Line,111
SECC01,Line,125
SECC01,Line,128
SECC01,Line,127
SECC01,Line,126
SECC01,Line,133
SECC01,Line,136
SECC01,Line,135
SECC01,Line,134
SECC01,Line,122
SECC01,Line,123
SECC01,Line,124
SECC01,Line,121
SECC01,Line,131
SECC01,Line,132
SECC01,Line,129
SECC01,Line,130
SECC04,Point,13
SECC04,Point,14
SECC04,Point,15
SECC04,Point,16
SECC04,Line,25
SECC04,Line,30
SECC04,Line,35
SECC04,Line,40
SECC04,Line,26
SECC04,Line,27
SECC04,Line,28
SECC04,Line,29
SECC04,Line,31
SECC04,Line,32
SECC04,Line,33
SECC04,Line,34
SECC04,Line,36
SECC04,Line,37
SECC04,Line,38
SECC04,Line,39
SECC04,Line,41
SECC04,Line,42
SECC04,Line,43
SECC04,Line,44
