TABLE:  Point Object Connectivity,,,,
UniqueName,Story,X,Y,Z
,,mm,mm,mm
52,Story7,12500,29166.66,118000
51,Story7,29166.67,29166.66,118000
50,Story7,29166.67,12500,118000
49,Story7,12500,12500,118000
48,Story6,12500,29166.66,109000
47,Story6,29166.67,29166.66,109000
46,Story6,29166.67,12500,109000
45,Story6,12500,12500,109000
44,Story5,12500,29166.66,100000
43,Story5,29166.67,29166.66,100000
42,Story5,29166.67,12500,100000
41,Story5,12500,12500,100000
39,Story5,20833.34,30253.62,91304.35
40,Story5,11413.04,20833.33,91304.35
37,Story5,20833.34,11413.04,91304.35
38,Story5,30253.63,20833.33,91304.35
36,Story4,10000,31666.66,80000
35,Story4,31666.67,31666.66,80000
34,Story4,31666.67,10000,80000
33,Story4,10000,10000,80000
32,Story4,8879.31,20833.33,71034.48
29,Story4,20833.33,8879.31,71034.48
30,Story4,32787.36,20833.33,71034.48
31,Story4,20833.33,32787.35,71034.48
28,Story3,7500,34166.66,60000
27,Story3,34166.66,34166.66,60000
26,Story3,34166.66,7500,60000
25,Story3,7500,7500,60000
21,Story3,6357.14,20833.33,50857.14
22,Story3,20833.33,6357.14,50857.14
23,Story3,35309.52,20833.33,50857.14
24,Story3,20833.33,35309.52,50857.14
17,Story2,5000,5000,40000
18,Story2,36666.67,5000,40000
19,Story2,36666.67,36666.66,40000
20,Story2,5000,36666.66,40000
13,Story2,20833.33,3841.46,30731.71
14,Story2,37825.2,20833.33,30731.71
15,Story2,20833.33,37825.2,30731.71
16,Story2,3841.46,20833.33,30731.71
9,Story1,2500,2500,20000
10,Story1,39166.67,2500,20000
5,Story1,20833.33,1329.79,10638.3
11,Story1,39166.67,39166.66,20000
12,Story1,2500,39166.66,20000
7,Story1,20833.33,40336.87,10638.3
6,Story1,40336.88,20833.33,10638.3
8,Story1,1329.79,20833.33,10638.3
1,Base,0,0,0
2,Base,41666.67,0,0
3,Base,41666.67,41666.66,0
4,Base,0,41666.66,0
